######################
### Initial Values ###
######################
 
Initial temp = 10.0
Initial RMSE =      0.8725521
 
Lets see how it goes!
 
--------------------------------------------------------------------------------------------------------------
     RMSE         delRMSE        BestRMSE     MP_Exponent    MP_Value   MCSA_Temp   decision  
  1.8723544      1.1348933      0.5899458      -0.5540719   5.7461e-01  2.04828       AM     
  1.6410002      -0.2313542     0.5899458      -0.5540719   5.7461e-01  2.02730       AF     
  0.8880566      -0.7529436     0.5899458      -0.5540719   5.7461e-01  2.00653       AF     
  0.8880566      0.1941758      0.5899458      -0.0977734   9.0685e-01  1.98598       RM     
  0.9855766      0.0975199      0.5899458      -0.0496124   9.5160e-01  1.96564       AM     
  1.2402130      0.2546364      0.5899458      -0.1308848   8.7732e-01  1.94550       AM     
  1.5364347      0.2962217      0.5899458      -0.1538356   8.5741e-01  1.92557       AM     
  1.2599547      -0.2764800     0.5899458      -0.1538356   8.5741e-01  1.90585       AF     
  0.9612223      -0.2987323     0.5899458      -0.1538356   8.5741e-01  1.88633       AF     
  0.7274578      -0.2337646     0.5899458      -0.1538356   8.5741e-01  1.86700       AF     
  1.7598981      1.0324403      0.5899458      -0.5587159   5.7194e-01  1.84788       AM     
  1.1776289      -0.5822692     0.5899458      -0.5587159   5.7194e-01  1.82895       AF     
  0.7697981      -0.4078307     0.5899458      -0.5587159   5.7194e-01  1.81022       AF     
  1.7322803      0.9624821      0.5899458      -0.5371966   5.8438e-01  1.79168       AM     
  1.2285906      -0.5036896     0.5899458      -0.5371966   5.8438e-01  1.77332       AF     
  1.8326706      0.6040800      0.5899458      -0.3441740   7.0881e-01  1.75516       AM     
  1.3309779      -0.5016927     0.5899458      -0.3441740   7.0881e-01  1.73718       AF     
  1.9595305      0.6285526      0.5899458      -0.3655680   6.9380e-01  1.71939       AM     
  0.8187407      -1.1407898     0.5899458      -0.3655680   6.9380e-01  1.70177       AF     
  1.2438942      0.4251535      0.5899458      -0.2524151   7.7692e-01  1.68434       AM     
  0.9195460      -0.3243483     0.5899458      -0.2524151   7.7692e-01  1.66709       AF     
  0.9195460      0.3269767      0.5899458      -0.1981661   8.2023e-01  1.65001       RM     
  1.0646867      0.1451408      0.5899458      -0.0888737   9.1496e-01  1.63311       AM     
  1.1218643      0.0571776      0.5899458      -0.0353738   9.6524e-01  1.61638       AM     
  1.1218643      0.9978227      0.5899458      -0.6237068   5.3595e-01  1.59983       RM     
  0.8835011      -0.2383632     0.5899458      -0.6237068   5.3595e-01  1.58344       AF     
  1.7186462      0.8351452      0.5899458      -0.5328832   5.8691e-01  1.56722       AM     
  0.8171194      -0.9015268     0.5899458      -0.5328832   5.8691e-01  1.55117       AF     
  2.1641675      1.3470481      0.5899458      -0.8773971   4.1586e-01  1.53528       AM     
  2.1154479      -0.0487196     0.5899458      -0.8773971   4.1586e-01  1.51955       AF     
  0.8924277      -1.2230202     0.5899458      -0.8773971   4.1586e-01  1.50399       AF     
  0.7642308      -0.1281969     0.5899458      -0.8773971   4.1586e-01  1.48858       AF     
  2.4371021      1.6728713      0.5899458      -1.1354333   3.2128e-01  1.47333       AM     
  0.8641447      -1.5729573     0.5899458      -1.1354333   3.2128e-01  1.45824       AF     
  1.1367364      0.2725917      0.5899458      -0.1888664   8.2790e-01  1.44330       AM     
  2.0838548      0.9471184      0.5899458      -0.6630066   5.1530e-01  1.42852       AM     
  2.0594431      -0.0244116     0.5899458      -0.6630066   5.1530e-01  1.41389       AF     
  1.1889005      -0.8705426     0.5899458      -0.6630066   5.1530e-01  1.39940       AF     
  1.4142364      0.2253359      0.5899458      -0.1626891   8.4986e-01  1.38507       AM     
  1.4318370      0.0176006      0.5899458      -0.0128389   9.8724e-01  1.37088       AM     
  0.6039486      -0.8278884     0.5899458      -0.0128389   9.8724e-01  1.35684       AF     
  0.6428071      0.0388585      0.5899458      -0.0289353   9.7148e-01  1.34294       AM     
  1.0681050      0.4252979      0.5899458      -0.3199686   7.2617e-01  1.32919       AM     
  0.8419156      -0.2261894     0.5899458      -0.3199686   7.2617e-01  1.31557       AF     
  0.9079789      0.0660633      0.5899458      -0.0507361   9.5053e-01  1.30210       AM     
  0.9079789      1.1565951      0.5899458      -0.8974493   4.0761e-01  1.28876       RM     
  1.0509684      0.1429895      0.5899458      -0.1120997   8.9396e-01  1.27556       AM     
  1.0509684      0.6341154      0.5899458      -0.5022731   6.0515e-01  1.26249       RM     
  2.1584541      1.1074857      0.5899458      -0.8863010   4.1218e-01  1.24956       AM     
  1.9326153      -0.2258388     0.5899458      -0.8863010   4.1218e-01  1.23676       AF     
  0.8286075      -1.1040079     0.5899458      -0.8863010   4.1218e-01  1.22409       AF     
  1.0115266      0.1829191      0.5899458      -0.1509790   8.5987e-01  1.21155       AM     
  0.9193376      -0.0921890     0.5899458      -0.1509790   8.5987e-01  1.19914       AF     
  1.0777071      0.1583695      0.5899458      -0.1334357   8.7508e-01  1.18686       AM     
  0.8669946      -0.2107125     0.5899458      -0.1334357   8.7508e-01  1.17470       AF     
  0.6735536      -0.1934410     0.5899458      -0.1334357   8.7508e-01  1.16267       AF     
  0.9196024      0.2460488      0.5899458      -0.2138141   8.0750e-01  1.15076       AM     
  1.1750657      0.2554633      0.5899458      -0.2242927   7.9908e-01  1.13897       AM     
  1.8593017      0.6842360      0.5899458      -0.6069655   5.4500e-01  1.12731       AM     
  1.2983310      -0.5609707     0.5899458      -0.6069655   5.4500e-01  1.11576       AF     
  0.7349286      -0.5634024     0.5899458      -0.6069655   5.4500e-01  1.10433       AF     
  1.4097492      0.6748206      0.5899458      -0.6173919   5.3935e-01  1.09302       AM     
  1.4097492      0.4580696      0.5899458      -0.4234241   6.5480e-01  1.08182       RM     
  1.4867990      0.0770498      0.5899458      -0.0719593   9.3057e-01  1.07074       AM     
  1.1310072      -0.3557918     0.5899458      -0.0719593   9.3057e-01  1.05977       AF     
  0.9877070      -0.1433001     0.5899458      -0.0719593   9.3057e-01  1.04892       AF     
  1.3831789      0.3954718      0.5899458      -0.3809304   6.8323e-01  1.03817       AM     
  1.1353369      -0.2478420     0.5899458      -0.3809304   6.8323e-01  1.02754       AF     
  0.9954315      -0.1399053     0.5899458      -0.3809304   6.8323e-01  1.01701       AF     
  0.7824359      -0.2129957     0.5899458      -0.3809304   6.8323e-01  1.00660       AF     
  0.7624475      -0.0199884     0.5899458      -0.3809304   6.8323e-01  0.99629       AF     
  0.7770735      0.0146261      0.5899458      -0.0148325   9.8528e-01  0.98608       AM     
  0.9476146      0.1705411      0.5899458      -0.1747383   8.3968e-01  0.97598       AM     
