
Host: node001

Timers On : Wed Mar 31 21:09:55 2021
Timers Off: Wed Mar 31 23:32:44 2021

Wall Time:     8569.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (Q|mn) Read                     :    549.100u    305.350s    175.276w   1147 calls
JK: J                               :    208.917u      4.683s     32.416w   1147 calls
JK: J1                              :    105.800u      3.300s     16.442w   1147 calls
JK: J2                              :     95.517u      0.800s     14.458w   1147 calls
JK: K                               :   8004.817u     73.583s   1214.754w   1147 calls
JK: K1                              :   5036.017u     53.233s    765.306w   1147 calls
JK: K2                              :   2966.050u     20.283s    449.040w   1147 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    372 calls
HF: Form F                          :      2.100u      0.217s      0.356w    372 calls
HF: Form D                          :      1.683u      0.017s      0.280w    372 calls
HF: DIIS                            :     44.800u      5.717s      7.632w    341 calls
DIISManager::add_entry              :      4.683u      1.033s      0.874w    341 calls
DIISManager::extrapolate            :     14.583u      3.567s      2.758w    341 calls
bMatrix setup                       :      7.400u      2.183s      1.449w    341 calls
bMatrix pseudoinverse               :      0.267u      0.017s      0.036w    341 calls
New vector                          :      6.900u      1.367s      1.266w    341 calls
HF: Form C                          :    112.183u      1.683s     17.075w    341 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      8.800u      0.400s      5.520w     31 calls
JK: (A|Q)^-1                        :    843.000u     50.350s    130.672w     31 calls
JK: (A|mn)                          :    643.317u      6.033s     97.658w     93 calls
JK: (Q|mn)                          :   2020.800u     18.617s    306.728w     93 calls
JK: (Q|mn) Write                    :     63.250u     43.517s     25.501w     93 calls
HF: Form core H                     :      6.200u      0.350s      1.487w     31 calls
HF: Form S/X                        :     10.217u      0.300s      1.585w     31 calls
HF: Guess                           :     99.783u      2.467s     15.382w     31 calls
| SAD Guess                         :     96.550u      2.333s     14.869w     31 calls
HF: Form G                          :   9323.067u    657.350s   1615.662w    372 calls
| JK: D                             :      2.117u      0.083s      0.314w    372 calls
| JK: USO2AO                        :      1.317u      0.067s      0.209w    372 calls
| JK: JK                            :   9316.333u    656.883s   1614.533w    372 calls
| | JK: (Q|mn) Read                 :    549.100u    305.350s    175.276w   1147 calls
| | JK: J                           :    208.917u      4.683s     32.416w   1147 calls
| | | JK: J1                        :    105.800u      3.300s     16.442w   1147 calls
| | | JK: J2                        :     95.517u      0.800s     14.458w   1147 calls
| | JK: K                           :   8004.817u     73.583s   1214.754w   1147 calls
| | | JK: K1                        :   5036.017u     53.233s    765.306w   1147 calls
| | | JK: K2                        :   2966.050u     20.283s    449.040w   1147 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    372 calls
HF: Form F                          :      2.100u      0.217s      0.356w    372 calls
HF: Form D                          :      1.683u      0.017s      0.280w    372 calls
HF: DIIS                            :     44.800u      5.717s      7.632w    341 calls
| DIISManager::add_entry            :      4.683u      1.033s      0.874w    341 calls
| DIISManager::extrapolate          :     14.583u      3.567s      2.758w    341 calls
| | bMatrix setup                   :      7.400u      2.183s      1.449w    341 calls
| | bMatrix pseudoinverse           :      0.267u      0.017s      0.036w    341 calls
| | New vector                      :      6.900u      1.367s      1.266w    341 calls
HF: Form C                          :    112.183u      1.683s     17.075w    341 calls

**************************************************************************************

Host: node002

Timers On : Thu Apr  1 14:01:40 2021
Timers Off: Thu Apr  1 14:38:43 2021

Wall Time:     2223.47 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      8.783u      0.233s      5.467w     31 calls
JK: (A|Q)^-1                        :    861.617u     52.050s    133.498w     31 calls
JK: (A|mn)                          :    626.933u      7.550s     95.409w     93 calls
JK: (Q|mn)                          :   2028.867u     17.650s    307.736w     93 calls
JK: (Q|mn) Write                    :     62.950u     40.217s     23.456w     93 calls
HF: Form core H                     :      6.900u      0.300s      1.565w     31 calls
HF: Form S/X                        :      9.800u      0.200s      1.496w     31 calls
HF: Guess                           :    100.100u      2.433s     15.417w     31 calls
SAD Guess                           :     96.750u      2.300s     14.909w     31 calls
HF: Form G                          :   8686.217u    556.833s   1493.765w    350 calls
JK: D                               :      1.533u      0.017s      0.269w    350 calls
JK: USO2AO                          :      1.133u      0.033s      0.184w    350 calls
JK: JK                              :   8680.433u    556.483s   1492.841w    350 calls
JK: (Q|mn) Read                     :    502.400u    277.467s    159.189w   1081 calls
JK: J                               :    213.033u      3.800s     32.693w   1081 calls
JK: J1                              :    110.783u      2.800s     17.056w   1081 calls
JK: J2                              :     94.300u      0.650s     14.298w   1081 calls
JK: K                               :   7482.467u     34.483s   1130.393w   1081 calls
JK: K1                              :   4762.933u     27.133s    720.297w   1081 calls
JK: K2                              :   2717.450u      7.233s    409.750w   1081 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    350 calls
HF: Form F                          :      1.650u      0.100s      0.270w    350 calls
HF: Form D                          :      1.333u      0.050s      0.243w    350 calls
HF: DIIS                            :     38.517u      4.433s      6.477w    319 calls
DIISManager::add_entry              :      3.983u      1.083s      0.785w    319 calls
DIISManager::extrapolate            :     11.467u      2.800s      2.163w    319 calls
bMatrix setup                       :      5.533u      1.733s      1.100w    319 calls
bMatrix pseudoinverse               :      0.200u      0.017s      0.032w    319 calls
New vector                          :      5.633u      1.033s      1.025w    319 calls
HF: Form C                          :     97.533u      1.183s     14.818w    319 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      8.783u      0.233s      5.467w     31 calls
JK: (A|Q)^-1                        :    861.617u     52.050s    133.498w     31 calls
JK: (A|mn)                          :    626.933u      7.550s     95.409w     93 calls
JK: (Q|mn)                          :   2028.867u     17.650s    307.736w     93 calls
JK: (Q|mn) Write                    :     62.950u     40.217s     23.456w     93 calls
HF: Form core H                     :      6.900u      0.300s      1.565w     31 calls
HF: Form S/X                        :      9.800u      0.200s      1.496w     31 calls
HF: Guess                           :    100.100u      2.433s     15.417w     31 calls
| SAD Guess                         :     96.750u      2.300s     14.909w     31 calls
HF: Form G                          :   8686.217u    556.833s   1493.765w    350 calls
| JK: D                             :      1.533u      0.017s      0.269w    350 calls
| JK: USO2AO                        :      1.133u      0.033s      0.184w    350 calls
| JK: JK                            :   8680.433u    556.483s   1492.841w    350 calls
| | JK: (Q|mn) Read                 :    502.400u    277.467s    159.189w   1081 calls
| | JK: J                           :    213.033u      3.800s     32.693w   1081 calls
| | | JK: J1                        :    110.783u      2.800s     17.056w   1081 calls
| | | JK: J2                        :     94.300u      0.650s     14.298w   1081 calls
| | JK: K                           :   7482.467u     34.483s   1130.393w   1081 calls
| | | JK: K1                        :   4762.933u     27.133s    720.297w   1081 calls
| | | JK: K2                        :   2717.450u      7.233s    409.750w   1081 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    350 calls
HF: Form F                          :      1.650u      0.100s      0.270w    350 calls
HF: Form D                          :      1.333u      0.050s      0.243w    350 calls
HF: DIIS                            :     38.517u      4.433s      6.477w    319 calls
| DIISManager::add_entry            :      3.983u      1.083s      0.785w    319 calls
| DIISManager::extrapolate          :     11.467u      2.800s      2.163w    319 calls
| | bMatrix setup                   :      5.533u      1.733s      1.100w    319 calls
| | bMatrix pseudoinverse           :      0.200u      0.017s      0.032w    319 calls
| | New vector                      :      5.633u      1.033s      1.025w    319 calls
HF: Form C                          :     97.533u      1.183s     14.818w    319 calls

**************************************************************************************

Host: node002

Timers On : Thu Apr  1 13:57:48 2021
Timers Off: Thu Apr  1 14:39:19 2021

Wall Time:     2491.60 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      8.933u      0.500s      5.679w     31 calls
JK: (A|Q)^-1                        :    866.350u     56.183s    134.568w     31 calls
JK: (A|mn)                          :    764.717u     15.833s    117.362w     93 calls
JK: (Q|mn)                          :   2136.067u     46.700s    328.203w     93 calls
JK: (Q|mn) Write                    :     62.233u     43.417s     25.310w     93 calls
HF: Form core H                     :      5.783u      0.317s      1.237w     31 calls
HF: Form S/X                        :     12.200u      0.300s      1.891w     31 calls
HF: Guess                           :    102.617u      2.683s     18.115w     31 calls
SAD Guess                           :     99.167u      2.517s     17.574w     31 calls
HF: Form G                          :   9832.883u    796.000s   1701.973w    369 calls
JK: D                               :      2.350u      0.133s      0.393w    369 calls
JK: USO2AO                          :      1.717u      0.083s      0.250w    369 calls
JK: JK                              :   9823.967u    794.883s   1700.493w    369 calls
JK: (Q|mn) Read                     :    570.417u    306.133s    175.469w   1138 calls
JK: J                               :    250.467u     12.467s     39.916w   1138 calls
JK: J1                              :    130.583u      8.783s     21.008w   1138 calls
JK: J2                              :    110.133u      2.850s     17.073w   1138 calls
JK: K                               :   8485.667u    230.000s   1310.576w   1138 calls
JK: K1                              :   5365.833u    171.383s    832.673w   1138 calls
JK: K2                              :   3116.450u     58.167s    477.348w   1138 calls
JK: AO2USO                          :      0.017u      0.000s      0.002w    369 calls
HF: Form F                          :      2.767u      0.467s      0.474w    369 calls
HF: Form D                          :      1.867u      0.067s      0.329w    369 calls
HF: DIIS                            :     48.400u      7.467s      8.437w    338 calls
DIISManager::add_entry              :      5.567u      1.017s      1.054w    338 calls
DIISManager::extrapolate            :     14.983u      3.967s      2.828w    338 calls
bMatrix setup                       :      7.900u      2.233s      1.513w    338 calls
bMatrix pseudoinverse               :      0.367u      0.067s      0.044w    338 calls
New vector                          :      6.650u      1.667s      1.262w    338 calls
HF: Form C                          :    126.467u      2.200s     19.332w    338 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      8.933u      0.500s      5.679w     31 calls
JK: (A|Q)^-1                        :    866.350u     56.183s    134.568w     31 calls
JK: (A|mn)                          :    764.717u     15.833s    117.362w     93 calls
JK: (Q|mn)                          :   2136.067u     46.700s    328.203w     93 calls
JK: (Q|mn) Write                    :     62.233u     43.417s     25.310w     93 calls
HF: Form core H                     :      5.783u      0.317s      1.237w     31 calls
HF: Form S/X                        :     12.200u      0.300s      1.891w     31 calls
HF: Guess                           :    102.617u      2.683s     18.115w     31 calls
| SAD Guess                         :     99.167u      2.517s     17.574w     31 calls
HF: Form G                          :   9832.883u    796.000s   1701.973w    369 calls
| JK: D                             :      2.350u      0.133s      0.393w    369 calls
| JK: USO2AO                        :      1.717u      0.083s      0.250w    369 calls
| JK: JK                            :   9823.967u    794.883s   1700.493w    369 calls
| | JK: (Q|mn) Read                 :    570.417u    306.133s    175.469w   1138 calls
| | JK: J                           :    250.467u     12.467s     39.916w   1138 calls
| | | JK: J1                        :    130.583u      8.783s     21.008w   1138 calls
| | | JK: J2                        :    110.133u      2.850s     17.073w   1138 calls
| | JK: K                           :   8485.667u    230.000s   1310.576w   1138 calls
| | | JK: K1                        :   5365.833u    171.383s    832.673w   1138 calls
| | | JK: K2                        :   3116.450u     58.167s    477.348w   1138 calls
| JK: AO2USO                        :      0.017u      0.000s      0.002w    369 calls
HF: Form F                          :      2.767u      0.467s      0.474w    369 calls
HF: Form D                          :      1.867u      0.067s      0.329w    369 calls
HF: DIIS                            :     48.400u      7.467s      8.437w    338 calls
| DIISManager::add_entry            :      5.567u      1.017s      1.054w    338 calls
| DIISManager::extrapolate          :     14.983u      3.967s      2.828w    338 calls
| | bMatrix setup                   :      7.900u      2.233s      1.513w    338 calls
| | bMatrix pseudoinverse           :      0.367u      0.067s      0.044w    338 calls
| | New vector                      :      6.650u      1.667s      1.262w    338 calls
HF: Form C                          :    126.467u      2.200s     19.332w    338 calls

**************************************************************************************

Host: node002

Timers On : Thu Apr  1 14:22:34 2021
Timers Off: Thu Apr  1 15:01:50 2021

Wall Time:     2355.16 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      8.600u      0.300s      5.399w     31 calls
JK: (A|Q)^-1                        :    819.267u     50.933s    127.440w     31 calls
JK: (A|mn)                          :    739.917u     13.050s    113.238w     93 calls
JK: (Q|mn)                          :   2004.350u     30.317s    305.984w     93 calls
JK: (Q|mn) Write                    :     62.217u     41.117s     24.007w     93 calls
HF: Form core H                     :      6.333u      0.400s      1.299w     31 calls
HF: Form S/X                        :     11.367u      0.233s      1.743w     31 calls
HF: Guess                           :     97.067u      2.350s     14.954w     31 calls
SAD Guess                           :     93.883u      2.200s     14.460w     31 calls
HF: Form G                          :   9430.917u    709.200s   1612.105w    372 calls
JK: D                               :      1.933u      0.083s      0.309w    372 calls
JK: USO2AO                          :      1.350u      0.133s      0.228w    372 calls
JK: JK                              :   9423.333u    708.317s   1610.809w    372 calls
JK: (Q|mn) Read                     :    553.517u    298.433s    170.854w   1147 calls
JK: J                               :    250.617u     19.733s     41.227w   1147 calls
JK: J1                              :    133.833u     16.117s     22.906w   1147 calls
JK: J2                              :    108.283u      3.050s     16.753w   1147 calls
JK: K                               :   8120.717u    176.283s   1247.745w   1147 calls
JK: K1                              :   5123.950u    148.483s    792.992w   1147 calls
JK: K2                              :   2993.933u     27.567s    454.265w   1147 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w    372 calls
HF: Form F                          :      2.550u      0.200s      0.401w    372 calls
HF: Form D                          :      1.867u      0.083s      0.293w    372 calls
HF: DIIS                            :     45.517u      7.083s      7.897w    341 calls
DIISManager::add_entry              :      4.750u      0.983s      0.907w    341 calls
DIISManager::extrapolate            :     13.917u      3.650s      2.642w    341 calls
bMatrix setup                       :      7.100u      2.267s      1.420w    341 calls
bMatrix pseudoinverse               :      0.250u      0.033s      0.035w    341 calls
New vector                          :      6.550u      1.350s      1.181w    341 calls
HF: Form C                          :    124.367u      2.133s     19.045w    341 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      8.600u      0.300s      5.399w     31 calls
JK: (A|Q)^-1                        :    819.267u     50.933s    127.440w     31 calls
JK: (A|mn)                          :    739.917u     13.050s    113.238w     93 calls
JK: (Q|mn)                          :   2004.350u     30.317s    305.984w     93 calls
JK: (Q|mn) Write                    :     62.217u     41.117s     24.007w     93 calls
HF: Form core H                     :      6.333u      0.400s      1.299w     31 calls
HF: Form S/X                        :     11.367u      0.233s      1.743w     31 calls
HF: Guess                           :     97.067u      2.350s     14.954w     31 calls
| SAD Guess                         :     93.883u      2.200s     14.460w     31 calls
HF: Form G                          :   9430.917u    709.200s   1612.105w    372 calls
| JK: D                             :      1.933u      0.083s      0.309w    372 calls
| JK: USO2AO                        :      1.350u      0.133s      0.228w    372 calls
| JK: JK                            :   9423.333u    708.317s   1610.809w    372 calls
| | JK: (Q|mn) Read                 :    553.517u    298.433s    170.854w   1147 calls
| | JK: J                           :    250.617u     19.733s     41.227w   1147 calls
| | | JK: J1                        :    133.833u     16.117s     22.906w   1147 calls
| | | JK: J2                        :    108.283u      3.050s     16.753w   1147 calls
| | JK: K                           :   8120.717u    176.283s   1247.745w   1147 calls
| | | JK: K1                        :   5123.950u    148.483s    792.992w   1147 calls
| | | JK: K2                        :   2993.933u     27.567s    454.265w   1147 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w    372 calls
HF: Form F                          :      2.550u      0.200s      0.401w    372 calls
HF: Form D                          :      1.867u      0.083s      0.293w    372 calls
HF: DIIS                            :     45.517u      7.083s      7.897w    341 calls
| DIISManager::add_entry            :      4.750u      0.983s      0.907w    341 calls
| DIISManager::extrapolate          :     13.917u      3.650s      2.642w    341 calls
| | bMatrix setup                   :      7.100u      2.267s      1.420w    341 calls
| | bMatrix pseudoinverse           :      0.250u      0.033s      0.035w    341 calls
| | New vector                      :      6.550u      1.350s      1.181w    341 calls
HF: Form C                          :    124.367u      2.133s     19.045w    341 calls

**************************************************************************************

Host: node001

Timers On : Thu Apr  1 16:51:42 2021
Timers Off: Thu Apr  1 16:51:43 2021

Wall Time:        1.43 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.033u      0.000s      0.022w      1 calls
DFH: initialize()                   :      0.500u      0.017s      0.097w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.001w      1 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.150u      0.000s      0.032w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      1.683u      0.033s      0.258w      1 calls
SAD Guess                           :      1.500u      0.033s      0.231w      1 calls
HF: Form G                          :      0.033u      0.017s      0.005w      9 calls
JK: D                               :      0.000u      0.000s      0.000w      9 calls
JK: USO2AO                          :      0.017u      0.017s      0.003w      9 calls
JK: JK                              :      0.017u      0.000s      0.002w      9 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.002w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.000u      0.000s      0.000w      9 calls
DFH: compute_K                      :      0.017u      0.000s      0.001w      9 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.067u      0.000s      0.008w      8 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w      8 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.001w      8 calls
bMatrix setup                       :      0.000u      0.000s      0.000w      8 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w      8 calls
New vector                          :      0.000u      0.000s      0.000w      8 calls
HF: Form C                          :      0.017u      0.000s      0.001w      8 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.033u      0.000s      0.022w      1 calls
DFH: initialize()                   :      0.500u      0.017s      0.097w      1 calls
| DFH: AO Construction              :      0.000u      0.000s      0.001w      1 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.150u      0.000s      0.032w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      1.683u      0.033s      0.258w      1 calls
| SAD Guess                         :      1.500u      0.033s      0.231w      1 calls
HF: Form G                          :      0.033u      0.017s      0.005w      9 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.017u      0.017s      0.003w      9 calls
| JK: JK                            :      0.017u      0.000s      0.002w      9 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.002w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.001w      9 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.067u      0.000s      0.008w      8 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.001w      8 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.001w      8 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w      8 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w      8 calls
| | New vector                      :      0.000u      0.000s      0.000w      8 calls
HF: Form C                          :      0.017u      0.000s      0.001w      8 calls

**************************************************************************************

Host: node001

Timers On : Thu Apr  1 16:51:30 2021
Timers Off: Thu Apr  1 16:52:37 2021

Wall Time:       67.41 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.283u      0.050s      0.191w      1 calls
JK: (A|Q)^-1                        :     22.833u      1.517s      3.547w      1 calls
JK: (A|mn)                          :     22.433u      0.400s      3.432w      2 calls
JK: (Q|mn)                          :     57.233u      0.817s      8.731w      2 calls
JK: (Q|mn) Write                    :      1.850u      1.283s      0.752w      2 calls
HF: Form core H                     :      0.033u      0.000s      0.061w      1 calls
HF: Form S/X                        :      0.350u      0.017s      0.054w      1 calls
HF: Guess                           :      2.383u      0.067s      0.369w      1 calls
SAD Guess                           :      2.267u      0.067s      0.352w      1 calls
HF: Form G                          :    252.717u     23.600s     44.978w     11 calls
JK: D                               :      0.033u      0.000s      0.008w     11 calls
JK: USO2AO                          :      0.067u      0.000s      0.006w     11 calls
JK: JK                              :    252.567u     23.600s     44.940w     11 calls
JK: (Q|mn) Read                     :     14.750u      8.967s      5.114w     34 calls
JK: J                               :      6.817u      0.267s      1.072w     34 calls
JK: J1                              :      3.633u      0.217s      0.567w     34 calls
JK: J2                              :      3.050u      0.033s      0.462w     34 calls
JK: K                               :    215.783u      6.817s     33.475w     34 calls
JK: K1                              :    136.567u      5.750s     21.413w     34 calls
JK: K2                              :     79.117u      1.050s     12.047w     34 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.067u      0.000s      0.014w     11 calls
HF: Form D                          :      0.017u      0.000s      0.008w     11 calls
HF: DIIS                            :      1.200u      0.150s      0.204w     10 calls
DIISManager::add_entry              :      0.133u      0.017s      0.024w     10 calls
DIISManager::extrapolate            :      0.350u      0.067s      0.069w     10 calls
bMatrix setup                       :      0.183u      0.067s      0.037w     10 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.001w     10 calls
New vector                          :      0.150u      0.000s      0.031w     10 calls
HF: Form C                          :      3.467u      0.100s      0.526w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.283u      0.050s      0.191w      1 calls
JK: (A|Q)^-1                        :     22.833u      1.517s      3.547w      1 calls
JK: (A|mn)                          :     22.433u      0.400s      3.432w      2 calls
JK: (Q|mn)                          :     57.233u      0.817s      8.731w      2 calls
JK: (Q|mn) Write                    :      1.850u      1.283s      0.752w      2 calls
HF: Form core H                     :      0.033u      0.000s      0.061w      1 calls
HF: Form S/X                        :      0.350u      0.017s      0.054w      1 calls
HF: Guess                           :      2.383u      0.067s      0.369w      1 calls
| SAD Guess                         :      2.267u      0.067s      0.352w      1 calls
HF: Form G                          :    252.717u     23.600s     44.978w     11 calls
| JK: D                             :      0.033u      0.000s      0.008w     11 calls
| JK: USO2AO                        :      0.067u      0.000s      0.006w     11 calls
| JK: JK                            :    252.567u     23.600s     44.940w     11 calls
| | JK: (Q|mn) Read                 :     14.750u      8.967s      5.114w     34 calls
| | JK: J                           :      6.817u      0.267s      1.072w     34 calls
| | | JK: J1                        :      3.633u      0.217s      0.567w     34 calls
| | | JK: J2                        :      3.050u      0.033s      0.462w     34 calls
| | JK: K                           :    215.783u      6.817s     33.475w     34 calls
| | | JK: K1                        :    136.567u      5.750s     21.413w     34 calls
| | | JK: K2                        :     79.117u      1.050s     12.047w     34 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.067u      0.000s      0.014w     11 calls
HF: Form D                          :      0.017u      0.000s      0.008w     11 calls
HF: DIIS                            :      1.200u      0.150s      0.204w     10 calls
| DIISManager::add_entry            :      0.133u      0.017s      0.024w     10 calls
| DIISManager::extrapolate          :      0.350u      0.067s      0.069w     10 calls
| | bMatrix setup                   :      0.183u      0.067s      0.037w     10 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.001w     10 calls
| | New vector                      :      0.150u      0.000s      0.031w     10 calls
HF: Form C                          :      3.467u      0.100s      0.526w     10 calls

**************************************************************************************
