
Host: node001

Timers On : Wed Mar 31 21:09:55 2021
Timers Off: Wed Mar 31 23:32:44 2021

Wall Time:     8569.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | | JK: J1                        :     86.333u      0.667s     13.131w   1054 calls
| | | JK: J2                        :     82.150u      0.633s     12.393w   1054 calls
| | JK: K                           :   6876.817u     23.250s   1037.386w   1054 calls
| | | JK: K1                        :   4250.433u     19.800s    642.036w   1054 calls
| | | JK: K2                        :   2623.933u      3.283s    394.981w   1054 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w    341 calls
HF: Form F                          :      1.817u      0.183s      0.336w    341 calls
HF: Form D                          :      1.367u      0.017s      0.240w    341 calls
HF: DIIS                            :     38.883u      4.783s      6.600w    310 calls
| DIISManager::add_entry            :      4.867u      0.883s      0.905w    310 calls
| DIISManager::extrapolate          :     11.017u      2.667s      2.058w    310 calls
| | bMatrix setup                   :      5.367u      1.550s      1.024w    310 calls
| | bMatrix pseudoinverse           :      0.100u      0.017s      0.031w    310 calls
| | New vector                      :      5.533u      1.100s      0.997w    310 calls
HF: Form C                          :     94.583u      1.217s     14.370w    310 calls

**************************************************************************************

Host: node001

Timers On : Thu Apr  1 12:04:11 2021
Timers Off: Thu Apr  1 12:39:53 2021

Wall Time:     2141.81 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      8.617u      0.200s      5.368w     31 calls
JK: (A|Q)^-1                        :    840.950u     48.833s    129.804w     31 calls
JK: (A|mn)                          :    621.400u      2.483s     93.810w     93 calls
JK: (Q|mn)                          :   2044.817u     10.583s    309.035w     93 calls
JK: (Q|mn) Write                    :     64.650u     36.767s     21.283w     93 calls
HF: Form core H                     :      6.183u      0.250s      2.492w     31 calls
HF: Form S/X                        :      9.300u      0.167s      1.435w     31 calls
HF: Guess                           :     99.917u      2.367s     15.367w     31 calls
SAD Guess                           :     96.583u      2.283s     14.866w     31 calls
HF: Form G                          :   8303.200u    515.800s   1418.639w    341 calls
JK: D                               :      1.750u      0.050s      0.266w    341 calls
JK: USO2AO                          :      0.933u      0.050s      0.169w    341 calls
JK: JK                              :   8297.550u    515.350s   1417.716w    341 calls
JK: (Q|mn) Read                     :    457.333u    247.917s    142.710w   1054 calls
JK: J                               :    173.300u      1.650s     26.513w   1054 calls
JK: J1                              :     85.683u      1.017s     13.081w   1054 calls
JK: J2                              :     80.417u      0.283s     12.099w   1054 calls
JK: K                               :   7179.400u     37.100s   1085.014w   1054 calls
JK: K1                              :   4529.633u     29.050s    685.374w   1054 calls
JK: K2                              :   2647.483u      7.933s    399.301w   1054 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w    341 calls
HF: Form F                          :      1.600u      0.150s      0.286w    341 calls
HF: Form D                          :      1.467u      0.033s      0.237w    341 calls
HF: DIIS                            :     38.483u      4.633s      6.498w    310 calls
DIISManager::add_entry              :      3.933u      1.033s      0.754w    310 calls
DIISManager::extrapolate            :     12.050u      2.900s      2.251w    310 calls
bMatrix setup                       :      5.900u      1.783s      1.143w    310 calls
bMatrix pseudoinverse               :      0.217u      0.000s      0.026w    310 calls
New vector                          :      5.883u      1.117s      1.076w    310 calls
HF: Form C                          :     94.800u      1.283s     14.421w    310 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      8.617u      0.200s      5.368w     31 calls
JK: (A|Q)^-1                        :    840.950u     48.833s    129.804w     31 calls
JK: (A|mn)                          :    621.400u      2.483s     93.810w     93 calls
JK: (Q|mn)                          :   2044.817u     10.583s    309.035w     93 calls
JK: (Q|mn) Write                    :     64.650u     36.767s     21.283w     93 calls
HF: Form core H                     :      6.183u      0.250s      2.492w     31 calls
HF: Form S/X                        :      9.300u      0.167s      1.435w     31 calls
HF: Guess                           :     99.917u      2.367s     15.367w     31 calls
| SAD Guess                         :     96.583u      2.283s     14.866w     31 calls
HF: Form G                          :   8303.200u    515.800s   1418.639w    341 calls
| JK: D                             :      1.750u      0.050s      0.266w    341 calls
| JK: USO2AO                        :      0.933u      0.050s      0.169w    341 calls
| JK: JK                            :   8297.550u    515.350s   1417.716w    341 calls
| | JK: (Q|mn) Read                 :    457.333u    247.917s    142.710w   1054 calls
| | JK: J                           :    173.300u      1.650s     26.513w   1054 calls
| | | JK: J1                        :     85.683u      1.017s     13.081w   1054 calls
| | | JK: J2                        :     80.417u      0.283s     12.099w   1054 calls
| | JK: K                           :   7179.400u     37.100s   1085.014w   1054 calls
| | | JK: K1                        :   4529.633u     29.050s    685.374w   1054 calls
| | | JK: K2                        :   2647.483u      7.933s    399.301w   1054 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w    341 calls
HF: Form F                          :      1.600u      0.150s      0.286w    341 calls
HF: Form D                          :      1.467u      0.033s      0.237w    341 calls
HF: DIIS                            :     38.483u      4.633s      6.498w    310 calls
| DIISManager::add_entry            :      3.933u      1.033s      0.754w    310 calls
| DIISManager::extrapolate          :     12.050u      2.900s      2.251w    310 calls
| | bMatrix setup                   :      5.900u      1.783s      1.143w    310 calls
| | bMatrix pseudoinverse           :      0.217u      0.000s      0.026w    310 calls
| | New vector                      :      5.883u      1.117s      1.076w    310 calls
HF: Form C                          :     94.800u      1.283s     14.421w    310 calls

**************************************************************************************

Host: node002

Timers On : Thu Apr  1 12:04:11 2021
Timers Off: Thu Apr  1 12:41:28 2021

Wall Time:     2236.37 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      8.783u      0.350s      5.512w     31 calls
JK: (A|Q)^-1                        :    869.133u     52.317s    135.117w     31 calls
JK: (A|mn)                          :    688.083u      7.500s    104.579w     93 calls
JK: (Q|mn)                          :   2071.483u     27.450s    315.633w     93 calls
JK: (Q|mn) Write                    :     62.867u     39.750s     23.055w     93 calls
HF: Form core H                     :      7.783u      0.400s      2.060w     31 calls
HF: Form S/X                        :     11.083u      0.300s      1.699w     31 calls
HF: Guess                           :    100.350u      2.450s     15.465w     31 calls
SAD Guess                           :     96.967u      2.383s     14.944w     31 calls
HF: Form G                          :   8633.917u    601.850s   1484.450w    341 calls
JK: D                               :      2.183u      0.133s      0.324w    341 calls
JK: USO2AO                          :      1.283u      0.050s      0.212w    341 calls
JK: JK                              :   8626.817u    600.933s   1483.214w    341 calls
JK: (Q|mn) Read                     :    508.417u    277.667s    159.249w   1054 calls
JK: J                               :    217.950u      6.700s     33.980w   1054 calls
JK: J1                              :    112.300u      4.700s     17.559w   1054 calls
JK: J2                              :     96.917u      1.417s     14.831w   1054 calls
JK: K                               :   7439.633u     94.800s   1132.977w   1054 calls
JK: K1                              :   4659.267u     70.983s    711.307w   1054 calls
JK: K2                              :   2777.817u     23.533s    421.212w   1054 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    341 calls
HF: Form F                          :      2.333u      0.367s      0.392w    341 calls
HF: Form D                          :      1.483u      0.033s      0.280w    341 calls
HF: DIIS                            :     40.850u      5.650s      7.025w    310 calls
DIISManager::add_entry              :      4.667u      1.017s      0.864w    310 calls
DIISManager::extrapolate            :     12.033u      2.933s      2.260w    310 calls
bMatrix setup                       :      5.850u      1.750s      1.176w    310 calls
bMatrix pseudoinverse               :      0.200u      0.017s      0.036w    310 calls
New vector                          :      5.933u      1.167s      1.041w    310 calls
HF: Form C                          :    106.300u      1.767s     16.239w    310 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      8.783u      0.350s      5.512w     31 calls
JK: (A|Q)^-1                        :    869.133u     52.317s    135.117w     31 calls
JK: (A|mn)                          :    688.083u      7.500s    104.579w     93 calls
JK: (Q|mn)                          :   2071.483u     27.450s    315.633w     93 calls
JK: (Q|mn) Write                    :     62.867u     39.750s     23.055w     93 calls
HF: Form core H                     :      7.783u      0.400s      2.060w     31 calls
HF: Form S/X                        :     11.083u      0.300s      1.699w     31 calls
HF: Guess                           :    100.350u      2.450s     15.465w     31 calls
| SAD Guess                         :     96.967u      2.383s     14.944w     31 calls
HF: Form G                          :   8633.917u    601.850s   1484.450w    341 calls
| JK: D                             :      2.183u      0.133s      0.324w    341 calls
| JK: USO2AO                        :      1.283u      0.050s      0.212w    341 calls
| JK: JK                            :   8626.817u    600.933s   1483.214w    341 calls
| | JK: (Q|mn) Read                 :    508.417u    277.667s    159.249w   1054 calls
| | JK: J                           :    217.950u      6.700s     33.980w   1054 calls
| | | JK: J1                        :    112.300u      4.700s     17.559w   1054 calls
| | | JK: J2                        :     96.917u      1.417s     14.831w   1054 calls
| | JK: K                           :   7439.633u     94.800s   1132.977w   1054 calls
| | | JK: K1                        :   4659.267u     70.983s    711.307w   1054 calls
| | | JK: K2                        :   2777.817u     23.533s    421.212w   1054 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    341 calls
HF: Form F                          :      2.333u      0.367s      0.392w    341 calls
HF: Form D                          :      1.483u      0.033s      0.280w    341 calls
HF: DIIS                            :     40.850u      5.650s      7.025w    310 calls
| DIISManager::add_entry            :      4.667u      1.017s      0.864w    310 calls
| DIISManager::extrapolate          :     12.033u      2.933s      2.260w    310 calls
| | bMatrix setup                   :      5.850u      1.750s      1.176w    310 calls
| | bMatrix pseudoinverse           :      0.200u      0.017s      0.036w    310 calls
| | New vector                      :      5.933u      1.167s      1.041w    310 calls
HF: Form C                          :    106.300u      1.767s     16.239w    310 calls

**************************************************************************************

Host: node001

Timers On : Thu Apr  1 12:04:11 2021
Timers Off: Thu Apr  1 12:41:46 2021

Wall Time:     2254.33 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      8.850u      0.283s      5.531w     31 calls
JK: (A|Q)^-1                        :    861.700u     54.967s    133.698w     31 calls
JK: (A|mn)                          :    651.567u      7.367s     99.092w     93 calls
JK: (Q|mn)                          :   2106.917u     21.450s    320.102w     93 calls
JK: (Q|mn) Write                    :     66.300u     44.317s     25.837w     93 calls
HF: Form core H                     :      4.783u      0.267s      1.250w     31 calls
HF: Form S/X                        :      9.767u      0.217s      1.503w     31 calls
HF: Guess                           :    100.917u      2.483s     15.546w     31 calls
SAD Guess                           :     97.617u      2.383s     15.033w     31 calls
HF: Form G                          :   8709.850u    604.533s   1505.153w    348 calls
JK: D                               :      2.033u      0.117s      0.290w    348 calls
JK: USO2AO                          :      1.050u      0.033s      0.182w    348 calls
JK: JK                              :   8703.350u    603.900s   1504.111w    348 calls
JK: (Q|mn) Read                     :    515.317u    281.183s    161.105w   1075 calls
JK: J                               :    187.633u      4.433s     29.105w   1075 calls
JK: J1                              :     95.267u      3.083s     14.847w   1075 calls
JK: J2                              :     84.900u      0.783s     12.822w   1075 calls
JK: K                               :   7487.367u     64.933s   1135.732w   1075 calls
JK: K1                              :   4742.950u     51.633s    721.020w   1075 calls
JK: K2                              :   2742.283u     12.950s    414.331w   1075 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w    348 calls
HF: Form F                          :      1.950u      0.233s      0.331w    348 calls
HF: Form D                          :      1.683u      0.050s      0.246w    348 calls
HF: DIIS                            :     40.633u      5.383s      6.901w    317 calls
DIISManager::add_entry              :      4.267u      1.167s      0.822w    317 calls
DIISManager::extrapolate            :     12.400u      3.133s      2.359w    317 calls
bMatrix setup                       :      5.967u      1.817s      1.192w    317 calls
bMatrix pseudoinverse               :      0.300u      0.017s      0.036w    317 calls
New vector                          :      6.067u      1.300s      1.124w    317 calls
HF: Form C                          :     98.800u      1.300s     15.065w    317 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      8.850u      0.283s      5.531w     31 calls
JK: (A|Q)^-1                        :    861.700u     54.967s    133.698w     31 calls
JK: (A|mn)                          :    651.567u      7.367s     99.092w     93 calls
JK: (Q|mn)                          :   2106.917u     21.450s    320.102w     93 calls
JK: (Q|mn) Write                    :     66.300u     44.317s     25.837w     93 calls
HF: Form core H                     :      4.783u      0.267s      1.250w     31 calls
HF: Form S/X                        :      9.767u      0.217s      1.503w     31 calls
HF: Guess                           :    100.917u      2.483s     15.546w     31 calls
| SAD Guess                         :     97.617u      2.383s     15.033w     31 calls
HF: Form G                          :   8709.850u    604.533s   1505.153w    348 calls
| JK: D                             :      2.033u      0.117s      0.290w    348 calls
| JK: USO2AO                        :      1.050u      0.033s      0.182w    348 calls
| JK: JK                            :   8703.350u    603.900s   1504.111w    348 calls
| | JK: (Q|mn) Read                 :    515.317u    281.183s    161.105w   1075 calls
| | JK: J                           :    187.633u      4.433s     29.105w   1075 calls
| | | JK: J1                        :     95.267u      3.083s     14.847w   1075 calls
| | | JK: J2                        :     84.900u      0.783s     12.822w   1075 calls
| | JK: K                           :   7487.367u     64.933s   1135.732w   1075 calls
